way_id,highway,name,oneway,maxspeed_raw,refs
22846571,residential,Strand Road,yes,,245653456|10886066862|245653450|2241842689|245653438|2241842655|12067711313|245653431|12067823777|2241842640|11068259095|2241842636|245653418
22846574,residential,GD Somani Road,yes,40,4307040330|12414405104|245653249|4044403809|9315182299|11950780360|245653412|4048772482|11950780352|486059629
22846583,residential,Lala Ningam Road,,,623362931|7238373734|11068272121|1278850334|1278850235|1278850280|1278850176|623362940|1278850262|1278850217|245653275|1278850207|623407526|623407529|9652363922|623407531|245653338|623401122|623401137|623401149|245653363|623388152|245653385
22846593,tertiary,HNAA Road,yes,,10886066851|10886066852|245653456|245653444|245653445|2241842686|245653419
22846616,secondary,Nanabhai Moos Marg,yes,50,4048579846|245653247|245653224|2241842483|245653207|623426008|245653170|1643072311|13601988254|245653112|4044476073|11070497149|11070497150|486004411
22846821,tertiary,Mahul Road,,,278918827|7334563641|11182533500|7334563619|10924870565|10943868170|632310816
22846837,residential,Mysore Colony Connector,no,,278918844|1473471989
22847224,secondary,Choitram Gidwani Marg (Kolwada Borla Road),yes,,11057970092|7362076298|10941856405|11057970091|12384046732|2248801099|10696893692|2248801080|632299692|2248801078|2248801082|245663817
22847258,residential,,,,7377729170|245661795|245661796|245661797
22847260,residential,Scheme 57 Road no.1A,,,245661859|245661860
22847261,residential,I D Bhuva Road,,,1307751392|1311768820|1333240955|245661265|1287923957|245661255
22847264,residential,,,,6430925563|1650753945|245661265
22847265,residential,Road No 14,,,245661218|245661255|6572333202|1334303236|245661320|245661375
22847267,service,,,30,245661226|11491119142|10723001403|11491119141|10723001402|1650800868
22847268,secondary,Barkat Ali Dargah Road,yes,,3732551722|13999346311|14019353499|13999330695|245661070|13999330697|13999346313|13999330696|13999330698|528859963|5770044364|7378517698|13999330699|1468500948|7378517699|1650800894|13999234775|13999330683
22847270,residential,Salt Pan Road,,,4292746859|4292746862|528859629|528859633|528859636|245661092|245661120|7378287233|245661171|245661226
22847308,residential,Scheme 57 Road no.14A,,,245661584|536797803|245661797|245661843|245661860|1329677100|1329677094|11068733874|245661962|6430647297|7374243964|6430647296|6430647295|7374243965|1650738244
22847314,residential,Samadhan Road,yes,,11299318527|1468508234|2647295152|631483502|7375353311
22847339,tertiary,Road No 32,,,245662581|13992223378|6494982534|7374243972|7374243970|245662357
22847342,residential,G Dardi Marg,,,13277057151|245662501|7372455148|245662572|7372455149|245662592|7372455150|7372455151|245662591|7372455152|2247988613|631485650|245662500|13277057148
22847355,tertiary,Road No 32A,yes,,245662581|13992223381|2247988609
22847357,residential,L Kasbe Marg,,,631485239|10732120469|7372455141|7372455142|7372455143|245662668|7372455144|7372455145|245662687|6431259055|245662727
22847383,residential,Mahatma Gandhi Road,,,1365949007|2380889056|1365948990|2380880065|2380880061|1365948983|2380880038|2380880019|1365948968|7374085675|2380888953|2380879990|1365948952|2380879984|2380888931|2380888926|1365948914|2380892534|2380879937|1365948908|2380879885|2380896461|1365948906
22847389,residential,Salt Pan Road,,,10936776420|3800218383|3800218382|7375883460|3800218381|7375883472|3800218379|1491270822|7375883464|528974873|1491270804|528974874|528974875|1491270828|7378678535|528974876|528974879|528974880|8708547068|528974882|528974883|4292746983|528974884|528974885|245661565
22847392,residential,,,,245661318|1287923945|11029965046|3273736208|6495104837|245661320
22847399,residential,Road No 27,,,245663299|13982507402|13982507420|13982507405|13982507406|13982507410|13982507424|13982507407|13982507426|7374755430|6494960728|11025096644|245663592
22847414,tertiary,,,,13408490473|245662357|13992243836|245662398
22847415,service,,,,245661843|6572386257
22847416,residential,Puranmal Singhani Road,,,245661562|245661584|6572386251
22847417,residential,P B Sule Marg,,,7377729176|245661372|245661373|6495104836|245661375|6572386247|245661376|6431009353|6572386265
22847482,residential,Road No 2,yes,,245663621|245663652|5346805341
22847493,residential,Road No 28A,,,245663010|2647295278|245663027|7374081525|13982470970|7374081524|245663203|11025083647|1179191756|245663299
22847497,residential,Road No 15,,,245663026|245663010|631497219
22847521,residential,Road No 28B,,,245663228|1179191758|245663203
22847564,primary,Nana Phadnavis Flyover,yes,,245660881|6262416913
22847603,residential,Kokri Agar Road,,,631483027|7375030407|245662438|245662448|7375030421|7375030419|7375030415|245662449|245662439|2647295240|4568096082|4568100364|2647295242|2647295247|4568100363|2647295250|7372455140|7372455139|13996958340|5056120379|7372455138|5056120380|2647295256
22847651,residential,R Jaimal Yagnik Road,yes,,245662727|6212373262|6212373265|13991785744|13991785735|7372455146|7372455147|245662642|245662509
22847698,residential,Chidambaram Marg,yes,,245663528|13982174682|13982174675|10926135376|13982230788|13982230785|2290729189|245663592|13528789484
22847709,tertiary,J K Bhasin Marg,yes,,7372455153|245662509|7372175036|13277057158|7372431240|245662500|245662493|7372175035|13995200002|245662501|11061388817|245662447|7374853062|10732120466|631484614
22847715,tertiary,Road No 8,,,7372175019|11025102567|245663299|6431019488|6559448272|10733085808
22847732,residential,Road No 13,,,245663047|5792364477|13991862808|631494003|631494002|13991825387|631494006|245663176
22847770,trunk,Sion Flyover,yes,40,529589674|1176701799|245663995|1176703271|245663930|2258304594|245663831|1176703273|1643134478|1643134471|10228066169|10228066170|10228066171|10228066172
22847776,residential,Road No 32,,,245660734|7374320617|1307748887|3732552532
22847781,tertiary,,yes,,245659488|10277780865|10277780867|10277780869|2216353311|245659402|10277780870|2216353294|1650707665|1650707657|5907931707
22847844,service,M P T Road,,,245659941|245660054
22847914,living_street,,,,11222487955|528977717|528977718|528977719|245661171
22847929,primary,Nana Phadnavis Flyover,yes,,245660949|5907931794|245660881
22847951,primary,Road No 16,yes,,245660948|245660949
22847973,service,,,,2216352595|700895747
22847984,residential,,,,245659060|14017292043|700886212|11337206842|245659235|700851718|245659330
22847986,residential,,yes,,245659346|6583542661|2216352925|245659242|13978699965|13978699966
22847989,residential,,,,700851700|4362365095|528879760|245659269
22848012,residential,B J Deorukhkar Marg,,,245660031|245660063|7453717285|245660116|245660143|245660183
22848013,living_street,,,,245658981|8692126925|2216352666|245659005|2216352676|245659017
22848023,tertiary,Govindji Keni Road,,,10883614931|245659815|245659867|245659898|12438616459|245659953
